id, abdominalSkinfold, aerobicDays, age, bodyMassIndex, calfSkinfold, className, curlUp, fitnessgramTemplateID, flexedArmHangTime, flexibilityDays, gradeID, height, modifiedPullup, oneMileRunTime, pacer, percentBodyFat, pullUp, pushUp, shoulderStretchLeft, shoulderStretchRight, sitAndReachLeft, sitAndReachRight, strengthDays, studentCreatedYN, studentID, teacherFirstName, teacherLastName, teacherMiddleName, tricepsSkinfold, trunkLift, walkTestTime, walkTestHR, weight
100,-2140118960,-2140118960,11,1731,-2140118960,"PHYSICAL EDUCATION 6",15,100,-2140118960,-2140118960,7,57,-2140118960,-2140118960,64,-2140118960,-2140118960,10,0,1,900,900,-2140118960,0,100,"Becky","Rathke","",-2140118960,7,-2140118960,-2140118960,80
101,-2140118960,-2140118960,11,1616,-2140118960,"PHYSICAL EDUCATION 6",11,100,-2140118960,-2140118960,7,59,-2140118960,-2140118960,34,-2140118960,-2140118960,10,-2140118960,-2140118960,1000,900,-2140118960,0,129,"Becky","Rathke","",-2140118960,12,-2140118960,-2140118960,80
102,-2140118960,-2140118960,11,1646,-2140118960,"PHYSICAL EDUCATION 6",38,100,-2140118960,-2140118960,7,62,-2140118960,-2140118960,53,-2140118960,-2140118960,10,0,1,800,800,-2140118960,0,128,"Becky","Rathke","",-2140118960,8,-2140118960,-2140118960,90
103,-2140118960,-2140118960,12,2077,-2140118960,"PHYSICAL EDUCATION 6",37,100,-2140118960,-2140118960,7,64,-2140118960,-2140118960,47,-2140118960,-2140118960,16,1,1,900,900,-2140118960,0,127,"Becky","Rathke","",-2140118960,12,-2140118960,-2140118960,121
104,-2140118960,-2140118960,12,1832,-2140118960,"PHYSICAL EDUCATION 6",50,100,-2140118960,-2140118960,7,54,-2140118960,-2140118960,38,-2140118960,-2140118960,10,1,0,1200,1200,-2140118960,0,126,"Becky","Rathke","",-2140118960,12,-2140118960,-2140118960,76
105,-2140118960,-2140118960,12,1757,-2140118960,"PHYSICAL EDUCATION 6",40,100,-2140118960,-2140118960,7,59,-2140118960,-2140118960,61,-2140118960,-2140118960,20,1,1,1100,1200,-2140118960,0,125,"Becky","Rathke","",-2140118960,10,-2140118960,-2140118960,87
106,-2140118960,-2140118960,11,1515,-2140118960,"PHYSICAL EDUCATION 6",50,100,-2140118960,-2140118960,7,59,-2140118960,-2140118960,57,-2140118960,-2140118960,15,0,1,1100,1000,-2140118960,0,124,"Becky","Rathke","",-2140118960,10,-2140118960,-2140118960,75
107,-2140118960,-2140118960,11,1683,-2140118960,"PHYSICAL EDUCATION 6",29,100,-2140118960,-2140118960,7,63,-2140118960,-2140118960,44,-2140118960,-2140118960,1,1,1,1000,900,-2140118960,0,123,"Becky","Rathke","",-2140118960,10,-2140118960,-2140118960,95
108,-2140118960,-2140118960,11,2154,-2140118960,"PHYSICAL EDUCATION 6",10,100,-2140118960,-2140118960,7,61,-2140118960,-2140118960,18,-2140118960,-2140118960,5,1,1,900,900,-2140118960,0,122,"Becky","Rathke","",-2140118960,10,-2140118960,-2140118960,114
109,-2140118960,-2140118960,11,1884,-2140118960,"PHYSICAL EDUCATION 6",53,100,-2140118960,-2140118960,7,62,-2140118960,-2140118960,38,-2140118960,-2140118960,20,1,1,800,900,-2140118960,0,121,"Becky","Rathke","",-2140118960,12,-2140118960,-2140118960,103
111,-2140118960,-2140118960,11,2633,-2140118960,"PHYSICAL EDUCATION 6",16,100,-2140118960,-2140118960,7,58,-2140118960,-2140118960,18,-2140118960,-2140118960,6,1,1,1200,1100,-2140118960,0,119,"Becky","Rathke","",-2140118960,12,-2140118960,-2140118960,126
112,-2140118960,-2140118960,12,3631,-2140118960,"PHYSICAL EDUCATION 6",4,100,-2140118960,-2140118960,7,63,-2140118960,-2140118960,7,-2140118960,-2140118960,0,0,0,200,200,-2140118960,0,118,"Becky","Rathke","",-2140118960,9,-2140118960,-2140118960,205
113,-2140118960,-2140118960,11,1644,-2140118960,"PHYSICAL EDUCATION 6",20,100,-2140118960,-2140118960,7,61,-2140118960,-2140118960,50,-2140118960,-2140118960,3,1,1,1100,800,-2140118960,0,117,"Becky","Rathke","",-2140118960,9,-2140118960,-2140118960,87
114,-2140118960,-2140118960,11,2872,-2140118960,"PHYSICAL EDUCATION 6",10,100,-2140118960,-2140118960,7,61,-2140118960,-2140118960,10,-2140118960,-2140118960,0,0,1,1000,1000,-2140118960,0,116,"Becky","Rathke","",-2140118960,10,-2140118960,-2140118960,152
115,-2140118960,-2140118960,11,1818,-2140118960,"PHYSICAL EDUCATION 6",30,100,-2140118960,-2140118960,7,59,-2140118960,-2140118960,26,-2140118960,-2140118960,15,0,1,700,700,-2140118960,0,115,"Becky","Rathke","",-2140118960,8,-2140118960,-2140118960,90
116,-2140118960,-2140118960,11,1899,-2140118960,"PHYSICAL EDUCATION 6",20,100,-2140118960,-2140118960,7,59,-2140118960,-2140118960,0,-2140118960,-2140118960,4,0,0,1200,1100,-2140118960,0,114,"Becky","Rathke","",-2140118960,11,-2140118960,-2140118960,94
117,-2140118960,-2140118960,11,1777,-2140118960,"PHYSICAL EDUCATION 6",0,100,-2140118960,-2140118960,7,58,-2140118960,-2140118960,46,-2140118960,-2140118960,16,1,1,1100,1100,-2140118960,0,113,"Becky","Rathke","",-2140118960,8,-2140118960,-2140118960,85
118,-2140118960,-2140118960,11,2049,-2140118960,"PHYSICAL EDUCATION 6",11,100,-2140118960,-2140118960,7,62,-2140118960,-2140118960,31,-2140118960,-2140118960,0,1,1,400,600,-2140118960,0,112,"Becky","Rathke","",-2140118960,12,-2140118960,-2140118960,112
119,-2140118960,-2140118960,11,1697,-2140118960,"PHYSICAL EDUCATION 6",21,100,-2140118960,-2140118960,7,55,-2140118960,-2140118960,20,-2140118960,-2140118960,16,1,1,800,700,-2140118960,0,111,"Becky","Rathke","",-2140118960,8,-2140118960,-2140118960,73
120,-2140118960,-2140118960,12,2456,-2140118960,"PHYSICAL EDUCATION 6",15,100,-2140118960,-2140118960,7,61,-2140118960,-2140118960,18,-2140118960,-2140118960,4,1,1,1000,1000,-2140118960,0,110,"Becky","Rathke","",-2140118960,10,-2140118960,-2140118960,130
121,-2140118960,-2140118960,12,1575,-2140118960,"PHYSICAL EDUCATION 6",32,100,-2140118960,-2140118960,7,59,-2140118960,-2140118960,58,-2140118960,-2140118960,25,1,1,900,1100,-2140118960,0,109,"Becky","Rathke","",-2140118960,10,-2140118960,-2140118960,78
122,-2140118960,-2140118960,11,4207,-2140118960,"PHYSICAL EDUCATION 6",10,100,-2140118960,-2140118960,7,62,-2140118960,-2140118960,8,-2140118960,-2140118960,1,0,1,800,800,-2140118960,0,108,"Becky","Rathke","",-2140118960,12,-2140118960,-2140118960,230
123,-2140118960,-2140118960,11,1777,-2140118960,"PHYSICAL EDUCATION 6",75,100,-2140118960,-2140118960,7,59,-2140118960,-2140118960,32,-2140118960,-2140118960,12,1,1,600,700,-2140118960,0,107,"Becky","Rathke","",-2140118960,7,-2140118960,-2140118960,88
124,-2140118960,-2140118960,11,1511,-2140118960,"PHYSICAL EDUCATION 6",28,100,-2140118960,-2140118960,7,55,-2140118960,-2140118960,18,-2140118960,-2140118960,11,1,1,1200,1200,-2140118960,0,106,"Becky","Rathke","",-2140118960,10,-2140118960,-2140118960,65
125,-2140118960,-2140118960,11,1984,-2140118960,"PHYSICAL EDUCATION 6",11,100,-2140118960,-2140118960,7,61,-2140118960,-2140118960,27,-2140118960,-2140118960,3,1,1,1200,1200,-2140118960,0,105,"Becky","Rathke","",-2140118960,12,-2140118960,-2140118960,105
126,-2140118960,-2140118960,11,2126,-2140118960,"PHYSICAL EDUCATION 6",13,100,-2140118960,-2140118960,7,63,-2140118960,-2140118960,25,-2140118960,-2140118960,12,1,1,700,700,-2140118960,0,104,"Becky","Rathke","",-2140118960,10,-2140118960,-2140118960,120
127,-2140118960,-2140118960,11,1905,-2140118960,"PHYSICAL EDUCATION 6",20,100,-2140118960,-2140118960,7,64,-2140118960,-2140118960,39,-2140118960,-2140118960,1,1,1,1000,1000,-2140118960,0,103,"Becky","Rathke","",-2140118960,9,-2140118960,-2140118960,111
128,-2140118960,-2140118960,11,1505,-2140118960,"PHYSICAL EDUCATION 6",30,100,-2140118960,-2140118960,7,58,-2140118960,-2140118960,27,-2140118960,-2140118960,10,1,1,800,800,-2140118960,0,102,"Becky","Rathke","",-2140118960,9,-2140118960,-2140118960,72
